Order_ID,Order_Date,Region,Category,Product,Quantity,Sales,Discount,Profit
ORD-100034,2023-01-23,South,Technology,Phone,2,18532.39,0.15,-430.18
ORD-100035,2023-08-24,West,Office Supplies,Printer,9,28267.35,0.0,3093.15
ORD-100036,2022-11-12,South,Office Supplies,Printer,1,19926.37,0.15,1355.41
ORD-100037,2022-01-14,East,Office Supplies,Pen,6,34325.15,0.2,741.18
ORD-100038,2022-08-30,North,Office Supplies,Pen,9,42950.59,0.05,8911.79
ORD-100039,2024-02-16,West,Furniture,Table,8,21937.27,0.2,-2067.73
ORD-100040,2023-07-19,North,Furniture,Wardrobe,1,30688.5,0.15,-656.15
ORD-100041,2024-06-16,East,Office Supplies,Notebook,5,30369.17,0.15,-1039.75
ORD-100042,2022-04-02,West,Furniture,Chair,4,29049.66,0.15,19.84
ORD-100043,2024-08-13,East,Furniture,Wardrobe,5,12859.18,0.2,1103.43
ORD-100044,2023-05-24,East,Technology,Monitor,9,34628.96,0.0,5330.29
ORD-100045,2024-02-15,West,Office Supplies,Printer,2,27577.89,0.2,-760.42
ORD-100046,2022-02-04,West,Furniture,Desk,4,13901.32,0.2,-1013.56
ORD-100047,2022-07-25,East,Furniture,Chair,6,33973.57,0.15,4074.12
ORD-100048,2024-10-22,East,Office Supplies,Pen,7,42106.53,0.0,7246.96
ORD-100049,2024-10-18,East,Technology,Phone,7,31249.41,0.05,7274.32
ORD-100050,2023-07-20,South,Office Supplies,Storage Box,3,19387.93,0.15,-1094.89
ORD-100051,2023-12-04,West,Technology,Phone,5,19094.61,0.15,1909.42
ORD-100052,2023-02-06,South,Furniture,Table,2,42800.98,0.15,3303.4
ORD-100053,2023-12-31,East,Furniture,Wardrobe,8,35770.83,0.05,6764.96
ORD-100054,2022-06-11,South,Furniture,Wardrobe,4,12995.9,0.0,1299.81
ORD-100055,2022-07-21,East,Furniture,Table,3,6410.33,0.2,-759.46
ORD-100056,2024-09-22,West,Technology,Monitor,7,42646.22,0.15,2615.61
ORD-100057,2022-09-27,West,Furniture,Chair,7,29908.18,0.05,3379.84
ORD-100058,2024-03-26,West,Furniture,Wardrobe,2,40598.43,0.15,513.81
ORD-100059,2023-04-01,North,Furniture,Desk,6,30833.63,0.2,2659.79
ORD-100060,2024-10-13,West,Technology,Tablet,7,43326.95,0.0,10964.31
ORD-100061,2022-10-23,East,Office Supplies,Pen,5,26466.99,0.2,1726.51
ORD-100062,2023-12-21,West,Technology,Monitor,3,24772.35,0.2,-1151.49
ORD-100063,2022-12-04,East,Office Supplies,Notebook,3,6580.58,0.15,-475.52
ORD-100064,2024-05-28,West,Office Supplies,Notebook,7,29896.65,0.2,1557.48
ORD-100065,2024-12-12,North,Technology,Monitor,3,36348.39,0.1,787.48
ORD-100066,2024-03-02,North,Furniture,Chair,2,45264.48,0.05,7323.34
ORD-100067,2022-08-05,East,Furniture,Wardrobe,7,28808.19,0.1,-655.59
ORD-100068,2024-02-03,East,Furniture,Desk,4,18095.26,0.2,178.93
ORD-100069,2022-07-07,North,Furniture,Chair,8,17087.94,0.2,787.93
ORD-100070,2023-01-15,South,Furniture,Desk,8,26653.43,0.2,1997.41
ORD-100071,2023-05-08,South,Furniture,Desk,4,24237.29,0.2,1652.96
ORD-100072,2024-11-30,East,Furniture,Wardrobe,6,13657.07,0.05,446.36
ORD-100073,2022-01-15,South,Technology,Phone,2,32983.29,0.0,9482.32
ORD-100074,2022-03-06,West,Technology,Laptop,5,35313.61,0.15,3431.48
ORD-100075,2023-06-05,South,Technology,Phone,3,46918.77,0.1,-1316.85
ORD-100076,2023-10-10,South,Office Supplies,Storage Box,9,45226.19,0.05,2334.95
ORD-100077,2024-12-22,South,Technology,Laptop,7,18430.3,0.05,3223.27
ORD-100078,2023-08-16,North,Technology,Tablet,7,27813.07,0.0,1843.96
ORD-100079,2023-01-27,East,Furniture,Table,1,28863.19,0.05,5488.03
ORD-100080,2023-02-23,East,Technology,Phone,7,17473.16,0.05,1230.0
ORD-100081,2022-10-16,West,Office Supplies,Printer,9,7681.93,0.0,427.29
ORD-100082,2023-01-14,South,Office Supplies,Printer,1,31369.48,0.2,1850.68
ORD-100083,2022-08-19,South,Technology,Tablet,7,49315.93,0.1,8464.91
ORD-100084,2024-10-14,West,Furniture,Desk,2,17945.34,0.15,1248.82
ORD-100085,2022-02-10,West,Office Supplies,Notebook,2,40832.2,0.05,3891.98
ORD-100086,2024-11-17,East,Technology,Tablet,1,38224.37,0.2,83.02
ORD-100087,2022-05-15,East,Office Supplies,Storage Box,5,49938.13,0.2,2669.52
ORD-100088,2022-07-20,North,Technology,Laptop,6,44644.34,0.05,8874.63
ORD-100089,2024-02-19,South,Furniture,Table,3,28926.38,0.15,3985.42
ORD-100090,2024-07-18,North,Furniture,Desk,1,1547.61,0.0,419.46
ORD-100091,2024-11-22,West,Office Supplies,Notebook,6,49616.3,0.05,5160.73
ORD-100092,2024-12-07,South,Furniture,Table,8,15823.68,0.0,3080.55
ORD-100093,2023-05-18,West,Technology,Phone,9,11304.34,0.05,2506.7
ORD-100094,2023-02-11,North,Office Supplies,Storage Box,9,37554.93,0.2,3263.55
ORD-100095,2024-03-15,South,Office Supplies,Storage Box,7,6360.64,0.15,523.59
ORD-100096,2022-04-09,West,Furniture,Desk,5,22622.33,0.05,1581.27
ORD-100097,2023-11-15,East,Office Supplies,Printer,7,38721.55,0.05,8568.3
ORD-100098,2023-12-27,South,Furniture,Chair,5,17075.42,0.1,3104.2
ORD-100099,2024-08-18,East,Office Supplies,Storage Box,7,7030.53,0.0,2081.86
ORD-100100,2023-09-05,South,Furniture,Table,4,7845.08,0.05,749.43
ORD-100101,2023-10-05,South,Technology,Monitor,4,49838.32,0.0,9955.36
ORD-100102,2024-10-25,East,Office Supplies,Storage Box,9,1286.72,0.15,93.15
ORD-100103,2023-05-18,South,Technology,Phone,2,13802.01,0.0,952.2
ORD-100104,2024-02-06,West,Furniture,Wardrobe,3,26171.44,0.2,-1888.23
ORD-100105,2023-02-02,North,Office Supplies,Pen,5,3466.37,0.15,146.83
ORD-100106,2024-05-20,South,Furniture,Table,6,10030.23,0.1,-182.91
ORD-100107,2024-03-05,South,Technology,Laptop,5,6933.54,0.15,12.75
ORD-100108,2023-01-28,North,Technology,Tablet,2,24023.76,0.2,1232.71
ORD-100109,2022-07-26,West,Technology,Phone,3,44007.19,0.0,10056.24
ORD-100110,2024-11-04,East,Office Supplies,Storage Box,8,29787.07,0.1,5915.94
ORD-100111,2024-06-10,South,Technology,Tablet,7,8650.41,0.05,130.97
ORD-100112,2024-05-13,South,Technology,Laptop,4,6157.42,0.15,-559.27
ORD-100113,2024-01-13,West,Furniture,Wardrobe,1,37846.34,0.0,5670.32
ORD-100114,2023-07-18,South,Furniture,Table,7,43448.38,0.05,5531.47
ORD-100115,2024-10-17,North,Furniture,Wardrobe,8,6034.12,0.2,405.05
ORD-100116,2022-04-06,North,Technology,Tablet,1,21869.99,0.1,311.57
ORD-100117,2023-04-30,South,Technology,Laptop,3,25958.89,0.05,1554.22
ORD-100118,2022-08-19,North,Furniture,Desk,4,49346.43,0.05,2409.01
ORD-100119,2024-01-19,North,Furniture,Desk,7,27505.35,0.05,2641.3
ORD-100120,2023-06-25,South,Furniture,Wardrobe,9,15156.06,0.0,4453.21
ORD-100121,2024-11-25,East,Technology,Monitor,9,5186.93,0.15,609.6
ORD-100122,2023-06-09,South,Technology,Monitor,3,41001.49,0.0,8919.89
ORD-100123,2023-08-01,East,Office Supplies,Storage Box,2,9553.24,0.1,596.09
ORD-100124,2023-11-13,North,Furniture,Wardrobe,8,7062.82,0.15,671.31
ORD-100125,2023-07-11,West,Technology,Laptop,3,18986.48,0.2,1874.03
ORD-100126,2024-10-09,South,Furniture,Desk,6,8439.01,0.15,637.78
ORD-100127,2023-10-08,North,Furniture,Desk,8,48291.54,0.15,-2877.3
ORD-100128,2024-03-06,East,Technology,Laptop,5,40914.47,0.2,-309.88
ORD-100129,2024-11-17,West,Furniture,Chair,4,38778.78,0.15,-2981.87
ORD-100130,2022-07-09,South,Office Supplies,Printer,7,33007.77,0.15,4204.51
ORD-100131,2023-09-25,North,Furniture,Desk,8,40986.77,0.2,-4809.55
ORD-100132,2023-09-20,East,Technology,Phone,2,46829.78,0.05,9213.3
ORD-100133,2024-08-30,West,Technology,Monitor,5,46016.77,0.05,10017.0
ORD-100134,2023-12-11,West,Furniture,Wardrobe,8,39030.58,0.05,2547.98
ORD-100135,2023-10-11,West,Technology,Laptop,9,1108.39,0.0,301.13
ORD-100136,2022-11-14,West,Furniture,Wardrobe,3,49110.98,0.1,8631.27
ORD-100137,2023-11-15,South,Technology,Monitor,4,48509.62,0.0,14231.83
ORD-100138,2023-10-26,West,Technology,Tablet,6,28391.79,0.2,-1367.55
ORD-100139,2023-03-18,South,Furniture,Chair,9,14014.09,0.0,3891.06
ORD-100140,2023-07-18,West,Technology,Monitor,8,35519.01,0.2,-136.67
ORD-100141,2024-08-09,East,Furniture,Chair,2,6944.63,0.15,669.49
ORD-100142,2023-11-30,South,Technology,Laptop,3,35223.79,0.05,8690.71
ORD-100143,2022-04-23,East,Furniture,Wardrobe,9,23970.93,0.05,3742.01
ORD-100144,2022-01-02,South,Technology,Phone,1,12432.73,0.1,1874.62
ORD-100145,2023-10-04,North,Technology,Tablet,4,7352.91,0.15,166.56
ORD-100146,2022-08-08,West,Office Supplies,Printer,1,8901.31,0.1,1445.71
ORD-100147,2024-05-04,North,Furniture,Desk,2,12570.04,0.15,131.87
ORD-100148,2023-01-20,North,Technology,Phone,7,30185.35,0.1,-573.98
ORD-100149,2024-12-12,East,Technology,Laptop,3,39887.1,0.2,-3033.28
ORD-100150,2023-12-31,West,Technology,Tablet,8,24290.73,0.1,2986.66
ORD-100151,2022-09-04,East,Office Supplies,Printer,7,33321.62,0.2,676.2
ORD-100152,2024-04-15,West,Technology,Tablet,6,47887.18,0.1,6943.19
ORD-100153,2022-07-22,South,Furniture,Wardrobe,5,11761.99,0.15,1342.55
ORD-100154,2022-05-03,West,Technology,Laptop,5,46020.37,0.05,1499.44
ORD-100155,2023-02-05,North,Office Supplies,Storage Box,6,49890.33,0.15,-1959.61
ORD-100156,2024-02-06,East,Office Supplies,Storage Box,1,11931.55,0.0,1123.96
ORD-100157,2022-10-21,North,Furniture,Wardrobe,1,16514.73,0.05,2848.14
ORD-100158,2022-10-07,North,Furniture,Wardrobe,5,40871.37,0.2,-2165.68
ORD-100159,2024-06-02,East,Technology,Phone,6,39715.01,0.05,6993.68
ORD-100160,2022-07-17,East,Office Supplies,Storage Box,5,14246.92,0.1,141.08
ORD-100161,2024-09-08,East,Furniture,Desk,8,37692.9,0.15,4016.72
ORD-100162,2024-01-22,South,Technology,Tablet,6,5370.08,0.15,-354.24
ORD-100163,2022-05-24,South,Office Supplies,Pen,3,49671.95,0.2,-7205.76
ORD-100164,2023-09-01,North,Technology,Laptop,5,42296.09,0.1,6834.51
ORD-100165,2022-07-06,East,Technology,Laptop,2,4853.67,0.2,-107.99
ORD-100166,2023-04-09,East,Furniture,Desk,7,2750.5,0.2,169.95
ORD-100167,2023-10-22,South,Technology,Laptop,8,29661.26,0.1,2581.42
ORD-100168,2024-02-03,South,Technology,Tablet,1,27552.54,0.15,-2066.22
ORD-100169,2024-08-12,West,Technology,Tablet,2,22468.73,0.0,1656.99
ORD-100170,2023-02-07,South,Office Supplies,Printer,1,43725.58,0.0,8992.1
ORD-100171,2022-05-27,East,Furniture,Desk,5,43099.92,0.0,12035.89
ORD-100172,2024-05-13,West,Technology,Tablet,4,14114.49,0.2,-1583.08
ORD-100173,2023-05-04,North,Technology,Laptop,7,28856.51,0.2,-1232.91
ORD-100174,2024-07-17,East,Furniture,Desk,4,14146.45,0.2,-665.63
ORD-100175,2023-07-05,West,Furniture,Table,2,2187.74,0.1,-24.29
ORD-100176,2022-12-04,East,Furniture,Desk,9,2370.32,0.05,556.19
ORD-100177,2024-05-21,West,Office Supplies,Printer,5,27278.14,0.15,-2182.03
ORD-100178,2023-10-03,East,Technology,Monitor,9,36139.47,0.05,4776.61
ORD-100179,2023-04-18,East,Furniture,Table,5,6803.76,0.05,1479.5
ORD-100180,2022-05-31,West,Technology,Monitor,6,39682.97,0.2,3569.82
ORD-100181,2022-09-20,North,Furniture,Wardrobe,9,41146.53,0.05,8719.07
ORD-100182,2022-05-24,North,Technology,Monitor,2,13540.42,0.0,923.06
ORD-100183,2022-12-12,West,Office Supplies,Notebook,5,4005.33,0.05,676.65
ORD-100184,2023-09-16,West,Office Supplies,Storage Box,2,48725.01,0.1,3777.88
ORD-100185,2024-10-13,North,Furniture,Chair,2,28476.08,0.1,3530.24
ORD-100186,2024-05-30,South,Technology,Tablet,5,25368.73,0.0,7344.8
ORD-100187,2022-01-02,North,Office Supplies,Notebook,3,43903.96,0.1,419.97
ORD-100188,2024-06-15,West,Furniture,Table,5,37745.88,0.05,1857.0
ORD-100189,2022-09-11,East,Office Supplies,Pen,3,23175.09,0.1,1467.56
ORD-100190,2023-03-29,South,Technology,Phone,3,30715.39,0.1,1505.24
ORD-100191,2024-11-26,South,Furniture,Desk,8,40518.78,0.2,-4981.92
ORD-100192,2024-10-11,West,Furniture,Wardrobe,7,16825.88,0.05,3056.45
ORD-100193,2022-01-09,North,Furniture,Chair,6,20477.68,0.15,189.82
ORD-100194,2024-03-26,South,Technology,Monitor,3,28958.07,0.2,-2835.52
ORD-100195,2022-07-27,South,Office Supplies,Printer,3,32516.88,0.1,-1367.42
ORD-100196,2023-02-08,East,Furniture,Wardrobe,6,48873.46,0.0,14325.84
ORD-100197,2022-06-01,South,Furniture,Table,7,7880.24,0.1,545.14
ORD-100198,2022-02-23,North,Furniture,Wardrobe,8,43828.79,0.05,4834.82
ORD-100199,2023-09-20,East,Technology,Tablet,7,2102.58,0.0,433.97
ORD-100200,2023-08-10,West,Office Supplies,Printer,3,17658.7,0.05,3565.1
ORD-100201,2022-04-14,East,Technology,Monitor,9,3948.81,0.2,11.99
ORD-100202,2022-09-11,South,Technology,Monitor,7,31892.41,0.1,-501.83
ORD-100203,2023-05-25,East,Technology,Laptop,9,37155.69,0.2,-3840.87
ORD-100204,2022-04-09,East,Technology,Phone,5,17324.84,0.0,4083.17
ORD-100205,2022-06-02,South,Office Supplies,Printer,8,6374.29,0.05,1560.83
ORD-100206,2024-07-02,North,Furniture,Wardrobe,1,21846.67,0.15,-604.7
ORD-100207,2024-05-27,East,Office Supplies,Notebook,4,22161.97,0.05,1030.27
ORD-100208,2022-12-04,South,Office Supplies,Storage Box,7,38777.17,0.15,-1284.38
ORD-100209,2024-04-01,West,Office Supplies,Storage Box,8,44831.37,0.05,858.74
ORD-100210,2024-08-14,East,Office Supplies,Notebook,4,37770.04,0.05,7449.68
ORD-100211,2022-06-10,West,Office Supplies,Notebook,3,17775.25,0.2,-22.36
ORD-100212,2024-03-11,South,Furniture,Desk,5,17042.74,0.05,3933.23
ORD-100213,2023-02-02,North,Furniture,Table,9,29145.41,0.05,4602.38
ORD-100214,2024-03-26,East,Furniture,Chair,1,14071.61,0.0,1104.8
ORD-100215,2023-02-05,South,Technology,Laptop,2,30967.67,0.0,6204.12
ORD-100216,2023-10-02,West,Technology,Phone,5,38840.24,0.2,-1225.57
ORD-100217,2024-11-22,South,Furniture,Table,9,8234.08,0.0,2014.75
ORD-100218,2023-11-19,South,Technology,Monitor,7,12957.39,0.0,2019.2
ORD-100219,2023-04-05,North,Office Supplies,Printer,2,7332.37,0.1,27.92
ORD-100220,2024-08-12,East,Technology,Phone,6,4343.57,0.05,910.56
ORD-100221,2023-04-15,South,Office Supplies,Printer,4,20450.26,0.1,237.84
ORD-100222,2024-11-11,East,Office Supplies,Printer,6,30894.54,0.2,-1184.81
ORD-100223,2024-01-20,West,Furniture,Chair,3,18433.5,0.0,3983.37
ORD-100224,2022-02-07,South,Technology,Tablet,4,19901.83,0.0,1521.39
ORD-100225,2022-08-18,East,Technology,Phone,5,42409.42,0.1,4281.73
ORD-100226,2023-07-17,East,Furniture,Desk,7,4097.77,0.1,741.52
ORD-100227,2023-03-14,East,Furniture,Table,5,30895.16,0.15,-2633.79
ORD-100228,2022-01-27,East,Office Supplies,Printer,6,29866.92,0.05,1915.37
ORD-100229,2022-08-14,East,Furniture,Desk,8,29645.33,0.15,3350.0
ORD-100230,2024-03-08,West,Furniture,Chair,8,40381.4,0.2,-3100.93
ORD-100231,2022-10-11,East,Technology,Monitor,5,25377.07,0.2,-2978.93
ORD-100232,2024-05-28,East,Technology,Phone,3,3883.41,0.2,324.09
ORD-100233,2024-08-17,South,Office Supplies,Notebook,3,12013.43,0.05,2978.12
ORD-100234,2023-03-29,West,Office Supplies,Printer,2,43166.23,0.05,4779.26
ORD-100235,2024-10-16,South,Technology,Monitor,9,746.14,0.05,18.95
ORD-100236,2024-03-26,South,Technology,Laptop,1,16882.66,0.0,2813.98
ORD-100237,2023-10-21,South,Furniture,Desk,8,24520.04,0.1,1098.57
ORD-100238,2023-07-01,North,Furniture,Chair,9,23597.73,0.0,6195.65
ORD-100239,2024-12-08,North,Office Supplies,Storage Box,5,30939.24,0.0,2906.82
ORD-100240,2022-01-17,South,Office Supplies,Notebook,4,11000.21,0.2,-1559.53
ORD-100241,2022-06-07,West,Furniture,Table,8,38704.58,0.2,-2576.61
ORD-100242,2023-04-22,West,Furniture,Table,9,2437.95,0.15,-185.85
ORD-100243,2024-12-05,West,Technology,Phone,6,7103.13,0.2,-864.05
ORD-100244,2023-06-02,West,Technology,Tablet,9,4573.53,0.0,239.09
ORD-100245,2022-04-09,South,Office Supplies,Notebook,1,32703.96,0.0,7980.91
ORD-100246,2024-11-26,West,Office Supplies,Printer,9,29992.47,0.15,1001.06
ORD-100247,2022-10-07,East,Furniture,Desk,3,49095.5,0.2,-4392.96
ORD-100248,2023-05-12,East,Technology,Laptop,1,5438.27,0.15,63.19
ORD-100249,2022-10-29,South,Technology,Monitor,1,2449.81,0.05,484.63
ORD-100250,2022-06-30,West,Technology,Phone,5,6402.88,0.05,124.33
ORD-100251,2023-08-30,East,Office Supplies,Storage Box,1,48056.64,0.1,-1465.34
ORD-100252,2023-12-01,East,Furniture,Table,7,40869.84,0.0,8905.98
ORD-100253,2024-09-19,East,Furniture,Desk,4,32498.31,0.05,8042.26
ORD-100254,2022-07-10,West,Office Supplies,Pen,4,32462.66,0.15,-877.93
ORD-100255,2022-09-10,South,Furniture,Wardrobe,3,30095.3,0.0,4055.21
ORD-100256,2024-09-07,East,Technology,Monitor,5,44451.14,0.05,4559.99
ORD-100257,2024-07-16,South,Furniture,Table,1,44517.29,0.05,2853.76
ORD-100258,2022-05-08,South,Office Supplies,Pen,8,25058.02,0.1,-653.58
ORD-100259,2022-01-18,North,Office Supplies,Storage Box,6,10683.38,0.1,1040.31
ORD-100260,2023-07-20,North,Furniture,Desk,9,45565.35,0.05,10124.47
ORD-100261,2023-07-24,East,Office Supplies,Notebook,8,21432.07,0.2,641.16
ORD-100262,2023-11-17,North,Office Supplies,Printer,5,41097.61,0.2,-1417.87
ORD-100263,2023-09-18,East,Office Supplies,Pen,7,21272.91,0.2,-742.28
ORD-100264,2024-05-03,West,Office Supplies,Pen,5,48517.84,0.0,14144.13
ORD-100265,2024-08-19,South,Office Supplies,Storage Box,3,7446.01,0.15,-237.17
ORD-100266,2022-06-04,East,Office Supplies,Storage Box,7,6074.05,0.05,994.07
ORD-100267,2023-05-05,South,Technology,Phone,1,5628.39,0.05,128.63
ORD-100268,2024-02-24,North,Office Supplies,Notebook,8,17458.64,0.15,1880.46
ORD-100269,2022-09-03,North,Technology,Laptop,9,25274.5,0.1,-314.96
ORD-100270,2024-11-28,South,Technology,Monitor,2,17824.88,0.1,3321.52
ORD-100271,2024-01-29,East,Office Supplies,Notebook,9,40695.65,0.1,6002.08
ORD-100272,2023-06-22,South,Office Supplies,Printer,1,3063.28,0.05,502.49
ORD-100273,2024-07-09,West,Technology,Phone,7,11678.31,0.0,1539.18
ORD-100274,2023-02-12,East,Office Supplies,Printer,9,25086.95,0.05,5087.36
ORD-100275,2023-06-09,South,Office Supplies,Pen,9,24125.24,0.05,4673.23
ORD-100276,2024-04-07,North,Office Supplies,Notebook,8,12974.28,0.15,-1134.56
ORD-100277,2024-06-21,North,Technology,Monitor,9,25120.37,0.05,5216.14
ORD-100278,2022-02-05,North,Office Supplies,Pen,3,21319.23,0.1,-798.7
ORD-100279,2023-11-16,West,Technology,Tablet,9,18815.18,0.0,1718.41
ORD-100280,2022-01-20,East,Technology,Tablet,1,37670.96,0.15,2963.64
ORD-100281,2022-11-17,East,Office Supplies,Pen,6,31433.35,0.05,4511.96
ORD-100282,2023-05-27,North,Furniture,Chair,1,27798.77,0.0,1499.57
ORD-100283,2023-02-04,North,Technology,Tablet,1,22841.13,0.15,1609.57
ORD-100284,2023-10-16,North,Furniture,Desk,9,34295.82,0.1,-686.29
ORD-100285,2024-08-29,West,Furniture,Desk,8,41460.31,0.2,-150.45
ORD-100286,2023-04-16,South,Furniture,Table,1,8234.94,0.05,1108.01
ORD-100287,2024-04-13,South,Office Supplies,Printer,2,26638.89,0.0,3355.53
ORD-100288,2023-12-28,North,Office Supplies,Printer,5,49935.57,0.15,-2660.66
ORD-100289,2024-05-03,North,Office Supplies,Storage Box,3,34430.89,0.2,-4107.69
ORD-100290,2022-02-20,South,Office Supplies,Pen,2,44065.28,0.15,-83.73
ORD-100291,2023-07-29,West,Office Supplies,Pen,1,9338.37,0.1,1524.84
ORD-100292,2022-05-30,South,Furniture,Desk,5,39158.23,0.2,-523.69
ORD-100293,2022-11-10,West,Office Supplies,Notebook,6,7947.2,0.2,-665.4
ORD-100294,2023-07-24,South,Furniture,Table,7,41695.18,0.2,-454.28
ORD-100295,2022-11-01,East,Technology,Phone,7,13733.56,0.1,1551.21
ORD-100296,2023-11-13,East,Technology,Laptop,9,2928.15,0.15,17.84
ORD-100297,2024-04-17,North,Technology,Laptop,2,12978.88,0.15,-221.65
ORD-100298,2024-12-13,South,Technology,Phone,4,15543.09,0.2,904.8
ORD-100299,2024-09-29,South,Technology,Monitor,9,45705.66,0.0,9327.32
ORD-100300,2023-03-20,North,Office Supplies,Notebook,5,801.33,0.0,205.6
ORD-100301,2023-09-05,West,Office Supplies,Storage Box,4,34900.78,0.05,4022.74
ORD-100302,2024-09-19,North,Office Supplies,Storage Box,4,39195.25,0.15,4084.74
ORD-100303,2022-09-21,East,Technology,Phone,2,18235.82,0.0,3048.03
ORD-100304,2024-12-12,South,Office Supplies,Notebook,5,43621.34,0.2,-4665.1
ORD-100305,2024-09-30,North,Furniture,Desk,6,39972.19,0.1,958.7
ORD-100306,2022-01-05,East,Furniture,Desk,4,29941.42,0.0,2520.28
ORD-100307,2024-02-13,East,Technology,Phone,2,37956.24,0.0,3911.02
ORD-100308,2024-05-26,South,Technology,Laptop,6,34049.14,0.15,7.99
ORD-100309,2024-09-18,South,Furniture,Chair,2,13968.17,0.05,1354.87
ORD-100310,2024-06-02,South,Furniture,Desk,3,11377.64,0.15,164.51
ORD-100311,2022-02-16,South,Office Supplies,Pen,9,10970.67,0.05,175.9
ORD-100312,2024-05-16,North,Technology,Monitor,4,29298.14,0.05,5891.83
ORD-100313,2024-04-02,South,Office Supplies,Printer,7,35135.46,0.05,1179.13
ORD-100314,2024-07-24,South,Office Supplies,Pen,5,45873.0,0.0,9812.17
ORD-100315,2023-10-18,East,Office Supplies,Notebook,7,41155.81,0.15,3271.68
ORD-100316,2022-09-26,North,Office Supplies,Printer,6,15649.89,0.2,214.82
ORD-100317,2023-01-05,West,Technology,Monitor,3,46881.98,0.1,8867.13
ORD-100318,2023-09-28,South,Furniture,Wardrobe,9,20459.91,0.1,4038.61
ORD-100319,2023-10-19,East,Technology,Laptop,5,15201.25,0.1,884.11
ORD-100320,2022-04-30,East,Technology,Phone,4,4034.36,0.2,-176.19
ORD-100321,2024-04-10,East,Office Supplies,Notebook,3,44584.39,0.2,2699.7
ORD-100322,2024-12-17,South,Technology,Laptop,2,44863.24,0.15,-4304.97
ORD-100323,2024-01-11,North,Office Supplies,Storage Box,7,41510.74,0.2,167.07
ORD-100324,2022-04-27,North,Technology,Phone,4,16877.91,0.2,224.78
ORD-100325,2024-03-01,South,Furniture,Table,4,29218.73,0.2,-459.61
ORD-100326,2024-10-09,East,Office Supplies,Notebook,6,4917.86,0.1,278.05
ORD-100327,2024-12-17,North,Furniture,Desk,5,31482.06,0.05,794.05
ORD-100328,2023-09-26,North,Technology,Monitor,9,34153.71,0.15,2848.06
ORD-100329,2023-05-28,West,Office Supplies,Pen,6,26505.26,0.2,2595.62
ORD-100330,2024-03-12,South,Furniture,Table,3,31931.99,0.2,298.49
ORD-100331,2023-07-14,East,Office Supplies,Printer,1,39040.77,0.2,-1843.11
